일자,지역,성별,연령,분야,건수
2025-08,서울특별시,남성,40,재정,122
2025-08,서울특별시,남성,40,주택_건축,305
2025-08,서울특별시,남성,40,체육,32
2025-08,서울특별시,남성,40,해양수산,19
2025-08,서울특별시,남성,40,행정_안전,501
2025-08,서울특별시,남성,40,환경,110
2025-08,서울특별시,남성,50,경찰_검찰_법원,1056
2025-08,서울특별시,남성,50,과학기술,54
2025-08,서울특별시,남성,50,관광,32
2025-08,서울특별시,남성,50,교육,139
2025-08,서울특별시,남성,50,교통,783
2025-08,서울특별시,남성,50,국방,65
2025-08,서울특별시,남성,50,기타,123
2025-08,서울특별시,남성,50,노동,90
2025-08,서울특별시,남성,50,농림_축산,16
2025-08,서울특별시,남성,50,도로,88
2025-08,서울특별시,남성,50,도시,89
2025-08,서울특별시,남성,50,문화,50
2025-08,서울특별시,남성,50,방송통신,43
2025-08,서울특별시,남성,50,보건,141
2025-08,서울특별시,남성,50,복지,113
2025-08,서울특별시,남성,50,산업_통상,344
2025-08,서울특별시,남성,50,세무,108
2025-08,서울특별시,남성,50,수자원,50
2025-08,서울특별시,남성,50,외무통일,36
2025-08,서울특별시,남성,50,우정,11
2025-08,서울특별시,남성,50,재정,138
2025-08,서울특별시,남성,50,주택_건축,303
2025-08,서울특별시,남성,50,체육,21
2025-08,서울특별시,남성,50,해양수산,13
2025-08,서울특별시,남성,50,행정_안전,423
2025-08,서울특별시,남성,50,환경,173
2025-08,서울특별시,남성,60,경찰_검찰_법원,250
2025-08,서울특별시,남성,60,과학기술,32
2025-08,서울특별시,남성,60,관광,9
2025-08,서울특별시,남성,60,교육,10
2025-08,서울특별시,남성,60,교통,397
2025-08,서울특별시,남성,60,국방,58
2025-08,서울특별시,남성,60,기타,53
2025-08,서울특별시,남성,60,노동,51
2025-08,서울특별시,남성,60,농림_축산,12
2025-08,서울특별시,남성,60,도로,43
2025-08,서울특별시,남성,60,도시,29
2025-08,서울특별시,남성,60,문화,29
2025-08,서울특별시,남성,60,방송통신,28
2025-08,서울특별시,남성,60,보건,45
2025-08,서울특별시,남성,60,복지,30
2025-08,서울특별시,남성,60,산업_통상,424
2025-08,서울특별시,남성,60,세무,23
2025-08,서울특별시,남성,60,수자원,9
2025-08,서울특별시,남성,60,외무통일,18
2025-08,서울특별시,남성,60,우정,4
2025-08,서울특별시,남성,60,재정,54
2025-08,서울특별시,남성,60,주택_건축,538
2025-08,서울특별시,남성,60,체육,16
2025-08,서울특별시,남성,60,해양수산,11
2025-08,서울특별시,남성,60,행정_안전,234
2025-08,서울특별시,남성,60,환경,33
2025-08,서울특별시,남성,70,경찰_검찰_법원,200
2025-08,서울특별시,남성,70,과학기술,6
2025-08,서울특별시,남성,70,교육,3
2025-08,서울특별시,남성,70,교통,23
2025-08,서울특별시,남성,70,국방,18
2025-08,서울특별시,남성,70,기타,12
2025-08,서울특별시,남성,70,노동,12
2025-08,서울특별시,남성,70,농림_축산,1
2025-08,서울특별시,남성,70,도로,17
2025-08,서울특별시,남성,70,도시,6
2025-08,서울특별시,남성,70,문화,3
2025-08,서울특별시,남성,70,방송통신,5
2025-08,서울특별시,남성,70,보건,10
2025-08,서울특별시,남성,70,복지,2
2025-08,서울특별시,남성,70,산업_통상,26
2025-08,서울특별시,남성,70,세무,11
2025-08,서울특별시,남성,70,수자원,7
2025-08,서울특별시,남성,70,외무통일,8
2025-08,서울특별시,남성,70,우정,3
2025-08,서울특별시,남성,70,재정,16
2025-08,서울특별시,남성,70,주택_건축,56
2025-08,서울특별시,남성,70,체육,4
2025-08,서울특별시,남성,70,해양수산,2
2025-08,서울특별시,남성,70,행정_안전,67
2025-08,서울특별시,남성,70,환경,7
2025-08,서울특별시,남성,80,경찰_검찰_법원,7
2025-08,서울특별시,남성,80,교육,1
2025-08,서울특별시,남성,80,국방,3
2025-08,서울특별시,남성,80,도로,2
2025-08,서울특별시,남성,80,도시,1
2025-08,서울특별시,남성,80,방송통신,1
2025-08,서울특별시,남성,80,보건,1
2025-08,서울특별시,남성,80,복지,1
2025-08,서울특별시,남성,80,산업_통상,1
2025-08,서울특별시,남성,80,외무통일,1
2025-08,서울특별시,남성,80,주택_건축,2
2025-08,서울특별시,남성,80,행정_안전,4
2025-08,서울특별시,남성,90,과학기술,1
2025-08,서울특별시,여성,10,경찰_검찰_법원,7
2025-08,서울특별시,여성,10,과학기술,1
2025-08,서울특별시,여성,10,관광,1
2025-08,서울특별시,여성,10,교육,14
2025-08,서울특별시,여성,10,교통,4
2025-08,서울특별시,여성,10,기타,5
2025-08,서울특별시,여성,10,노동,2
2025-08,서울특별시,여성,10,농림_축산,1
2025-08,서울특별시,여성,10,도로,1
2025-08,서울특별시,여성,10,문화,2
2025-08,서울특별시,여성,10,방송통신,3
2025-08,서울특별시,여성,10,보건,3
2025-08,서울특별시,여성,10,산업_통상,1
2025-08,서울특별시,여성,10,세무,1
2025-08,서울특별시,여성,10,수자원,2
2025-08,서울특별시,여성,10,외무통일,1
2025-08,서울특별시,여성,10,재정,1
2025-08,서울특별시,여성,10,체육,2
2025-08,서울특별시,여성,10,행정_안전,5
2025-08,서울특별시,여성,20,경찰_검찰_법원,99
2025-08,서울특별시,여성,20,과학기술,18
2025-08,서울특별시,여성,20,관광,19
2025-08,서울특별시,여성,20,교육,27
2025-08,서울특별시,여성,20,교통,95
2025-08,서울특별시,여성,20,국방,13
2025-08,서울특별시,여성,20,기타,36
2025-08,서울특별시,여성,20,노동,48
2025-08,서울특별시,여성,20,농림_축산,10
2025-08,서울특별시,여성,20,도로,17
2025-08,서울특별시,여성,20,도시,1
2025-08,서울특별시,여성,20,문화,31
2025-08,서울특별시,여성,20,방송통신,29
2025-08,서울특별시,여성,20,보건,68
2025-08,서울특별시,여성,20,복지,9
2025-08,서울특별시,여성,20,산업_통상,97
2025-08,서울특별시,여성,20,세무,8
2025-08,서울특별시,여성,20,수자원,5
2025-08,서울특별시,여성,20,외무통일,13
2025-08,서울특별시,여성,20,우정,8
2025-08,서울특별시,여성,20,재정,24
2025-08,서울특별시,여성,20,주택_건축,32
2025-08,서울특별시,여성,20,체육,7
2025-08,서울특별시,여성,20,해양수산,2
2025-08,서울특별시,여성,20,행정_안전,60
2025-08,서울특별시,여성,20,환경,33
2025-08,서울특별시,여성,30,경찰_검찰_법원,249
2025-08,서울특별시,여성,30,과학기술,30
2025-08,서울특별시,여성,30,관광,14
2025-08,서울특별시,여성,30,교육,139
2025-08,서울특별시,여성,30,교통,170
2025-08,서울특별시,여성,30,국방,12
2025-08,서울특별시,여성,30,기타,117
2025-08,서울특별시,여성,30,노동,99
2025-08,서울특별시,여성,30,농림_축산,43
2025-08,서울특별시,여성,30,도로,49
2025-08,서울특별시,여성,30,도시,4
2025-08,서울특별시,여성,30,문화,71
2025-08,서울특별시,여성,30,방송통신,64
2025-08,서울특별시,여성,30,보건,209
2025-08,서울특별시,여성,30,복지,32
2025-08,서울특별시,여성,30,산업_통상,198
2025-08,서울특별시,여성,30,세무,42
2025-08,서울특별시,여성,30,수자원,9
2025-08,서울특별시,여성,30,외무통일,31
2025-08,서울특별시,여성,30,우정,6
2025-08,서울특별시,여성,30,재정,53
2025-08,서울특별시,여성,30,주택_건축,143
2025-08,서울특별시,여성,30,체육,13
2025-08,서울특별시,여성,30,해양수산,19
2025-08,서울특별시,여성,30,행정_안전,194
2025-08,서울특별시,여성,30,환경,64
2025-08,서울특별시,여성,40,경찰_검찰_법원,842
2025-08,서울특별시,여성,40,과학기술,40
2025-08,서울특별시,여성,40,관광,8
2025-08,서울특별시,여성,40,교육,206
2025-08,서울특별시,여성,40,교통,1845
2025-08,서울특별시,여성,40,국방,13
2025-08,서울특별시,여성,40,기타,78
2025-08,서울특별시,여성,40,노동,111
2025-08,서울특별시,여성,40,농림_축산,25
2025-08,서울특별시,여성,40,도로,40
2025-08,서울특별시,여성,40,도시,15
2025-08,서울특별시,여성,40,문화,300
2025-08,서울특별시,여성,40,방송통신,84
2025-08,서울특별시,여성,40,보건,113
2025-08,서울특별시,여성,40,복지,38
2025-08,서울특별시,여성,40,산업_통상,212
2025-08,서울특별시,여성,40,세무,32
2025-08,서울특별시,여성,40,수자원,9
2025-08,서울특별시,여성,40,외무통일,31
2025-08,서울특별시,여성,40,우정,8
2025-08,서울특별시,여성,40,재정,64
2025-08,서울특별시,여성,40,주택_건축,534
2025-08,서울특별시,여성,40,체육,33
2025-08,서울특별시,여성,40,해양수산,9
2025-08,서울특별시,여성,40,행정_안전,418
2025-08,서울특별시,여성,40,환경,87
2025-08,서울특별시,여성,50,경찰_검찰_법원,150
2025-08,서울특별시,여성,50,과학기술,20
2025-08,서울특별시,여성,50,관광,9
2025-08,서울특별시,여성,50,교육,70
2025-08,서울특별시,여성,50,교통,277
2025-08,서울특별시,여성,50,국방,16
2025-08,서울특별시,여성,50,기타,62
